"Device: USB-1608FS"
"Serial Number: 7844"
"Channel Count: 2"
"Sample Count: 7192"
"Start Time: 10/24/2019 10:54:41.000 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)","Torr (V)"
"0","10/24/2019 10:54:41.000 AM","-0.281","4.472"
"1","10/24/2019 10:54:41.001 AM","-0.281","4.473"
"2","10/24/2019 10:54:41.002 AM","-0.280","4.472"
"3","10/24/2019 10:54:41.003 AM","-0.281","4.473"
"4","10/24/2019 10:54:41.004 AM","-0.280","4.472"
"5","10/24/2019 10:54:41.005 AM","-0.280","4.473"
"6","10/24/2019 10:54:41.006 AM","-0.280","4.472"
"7","10/24/2019 10:54:41.007 AM","-0.280","4.472"
"8","10/24/2019 10:54:41.008 AM","-0.280","4.473"
"9","10/24/2019 10:54:41.009 AM","-0.280","4.473"
"10","10/24/2019 10:54:41.010 AM","-0.278","4.473"
"11","10/24/2019 10:54:41.011 AM","-0.279","4.473"
"12","10/24/2019 10:54:41.012 AM","-0.279","4.472"
"13","10/24/2019 10:54:41.013 AM","-0.278","4.472"
"14","10/24/2019 10:54:41.014 AM","-0.278","4.472"
"15","10/24/2019 10:54:41.015 AM","-0.279","4.473"
"16","10/24/2019 10:54:41.016 AM","-0.278","4.472"
"17","10/24/2019 10:54:41.017 AM","-0.278","4.473"
"18","10/24/2019 10:54:41.018 AM","-0.278","4.472"
"19","10/24/2019 10:54:41.019 AM","-0.278","4.472"
"20","10/24/2019 10:54:41.020 AM","-0.278","4.473"
"21","10/24/2019 10:54:41.021 AM","-0.278","4.473"
"22","10/24/2019 10:54:41.022 AM","-0.278","4.473"
"23","10/24/2019 10:54:41.023 AM","-0.278","4.472"
"24","10/24/2019 10:54:41.024 AM","-0.278","4.473"
"25","10/24/2019 10:54:41.025 AM","-0.278","4.472"
"26","10/24/2019 10:54:41.026 AM","-0.278","4.474"
"27","10/24/2019 10:54:41.027 AM","-0.278","4.473"
"28","10/24/2019 10:54:41.028 AM","-0.278","4.472"
"29","10/24/2019 10:54:41.029 AM","-0.278","4.473"
"30","10/24/2019 10:54:41.030 AM","-0.278","4.473"
"31","10/24/2019 10:54:41.031 AM","-0.278","4.472"
"32","10/24/2019 10:54:41.032 AM","-0.278","4.473"
"33","10/24/2019 10:54:41.033 AM","-0.278","4.473"
"34","10/24/2019 10:54:41.034 AM","-0.278","4.473"
"35","10/24/2019 10:54:41.035 AM","-0.278","4.473"
"36","10/24/2019 10:54:41.036 AM","-0.279","4.473"
"37","10/24/2019 10:54:41.037 AM","-0.279","4.474"
"38","10/24/2019 10:54:41.038 AM","-0.278","4.474"
"39","10/24/2019 10:54:41.039 AM","-0.279","4.473"
"40","10/24/2019 10:54:41.040 AM","-0.280","4.474"
"41","10/24/2019 10:54:41.041 AM","-0.280","4.473"
"42","10/24/2019 10:54:41.042 AM","-0.280","4.474"
"43","10/24/2019 10:54:41.043 AM","-0.280","4.474"
"44","10/24/2019 10:54:41.044 AM","-0.281","4.475"
"45","10/24/2019 10:54:41.045 AM","-0.280","4.475"
"46","10/24/2019 10:54:41.046 AM","-0.281","4.474"
"47","10/24/2019 10:54:41.047 AM","-0.281","4.474"
"48","10/24/2019 10:54:41.048 AM","-0.281","4.475"
"49","10/24/2019 10:54:41.049 AM","-0.281","4.475"
"50","10/24/2019 10:54:41.050 AM","-0.281","4.476"
"51","10/24/2019 10:54:41.051 AM","-0.282","4.475"
"52","10/24/2019 10:54:41.052 AM","-0.281","4.475"
"53","10/24/2019 10:54:41.053 AM","-0.282","4.475"
"54","10/24/2019 10:54:41.054 AM","-0.282","4.475"
"55","10/24/2019 10:54:41.055 AM","-0.282","4.475"
"56","10/24/2019 10:54:41.056 AM","-0.282","4.476"
"57","10/24/2019 10:54:41.057 AM","-0.282","4.475"
"58","10/24/2019 10:54:41.058 AM","-0.282","4.476"
"59","10/24/2019 10:54:41.059 AM","-0.282","4.476"
"60","10/24/2019 10:54:41.060 AM","-0.282","4.475"
"61","10/24/2019 10:54:41.061 AM","-0.282","4.476"
"62","10/24/2019 10:54:41.062 AM","-0.282","4.476"
"63","10/24/2019 10:54:41.063 AM","-0.281","4.476"
